Sheet,column_index,row_index,Action
Castaways,name,86,Fix
Castaways,name,122,Fix
Castaways,name,146,Fix
Castaways,name,262,Fix
Castaways,name,311,Fix
Castaways,name,374,Fix
Castaways,name,417,Fix
Castaways,name,474,Fix
Castaways,name,505,Fix
Castaways,name,515,Fix
Castaways,name,583,Fix
Castaways,name,611,Fix
Castaways,name,786,Fix
Castaways,name,816,Fix
Castaways,name,826,Fix
Castaways,name,816,Fix
Castaways,name,1390,Fix
Castaways,name,1393,Fix
Castaways,name,1462,Fix
Castaways,name,1614,Fix
Castaways,name,1682,Fix
Castaways,name,1786,Fix
Castaways,name,2168,Fix
Castaways,name,2180,Fix
Castaways,name,2295,Fix
Castaways,name,2346,Fix
Castaways,name,3017,Fix
Castaways,name,3233,Fix
Castaways,name,3255,Fix
Castaways,std_name,86,Fix
Castaways,std_name,122,Fix
Castaways,std_name,146,Fix
Castaways,std_name,262,Fix
Castaways,std_name,311,Fix
Castaways,std_name,374,Fix
Castaways,std_name,417,Fix
Castaways,std_name,474,Fix
Castaways,std_name,505,Fix
Castaways,std_name,515,Fix
Castaways,std_name,786,Fix
Castaways,std_name,816,Fix
Castaways,std_name,826,Fix
Castaways,std_name,861,Fix
Castaways,std_name,1390,Fix
Castaways,std_name,1393,Fix
Castaways,std_name,1462,Fix
Castaways,std_name,1614,Missing
Castaways,std_name,1682,Fix
Castaways,std_name,1786,Fix
Castaways,std_name,2130,Missing
Castaways,std_name,2168,Fix
Castaways,std_name,2180,Fix
Castaways,std_name,2295,Fix
Castaways,std_name,2346,Fix
Castaways,std_name,2369,Missing
Castaways,std_name,3017,Fix
Castaways,std_name,3166,Fix
Castaways,std_name,3186,Fix
Castaways,gender,122,Missing
Castaways,gender,124,Missing
Castaways,gender,397,Missing
Castaways,gender,417,Missing
Castaways,gender,642,Missing
Castaways,gender,760,Missing
Castaways,gender,786,Missing
Castaways,gender,795,Missing
Castaways,gender,808,Missing
Castaways,gender,869,Missing
Castaways,gender,910,Missing
Castaways,gender,917,Missing
Castaways,gender,920,Missing
Castaways,gender,973,Missing
Castaways,gender,1067,Missing
Castaways,gender,1193,Missing
Castaways,gender,1303,Missing
Castaways,gender,1369,Missing
Castaways,gender,1403,Missing
Castaways,gender,1444,Missing
Castaways,gender,1463,Missing
Castaways,gender,1503,Missing
Castaways,gender,1586,Missing
Castaways,gender,1620,Missing
Castaways,gender,1672,Missing
Castaways,gender,1681,Missing
Castaways,gender,1682,Missing
Castaways,gender,1695,Missing
Castaways,gender,1797,Missing
Castaways,gender,1857,Missing
Castaways,gender,2024,Missing
